Grid_ID,Vehicle_Type,Active_Vehicles,Latitude,Longitude
GRID_0000,Passenger,864,19.451193603004633,73.20230517174947
GRID_0001,Passenger,2473,18.97672564168128,72.95195651850112
GRID_0002,Passenger,1294,19.163138066790932,72.85167481137724
GRID_0003,Two-Wheeler,1089,19.416274271262164,72.83205786998097
GRID_0004,Passenger,4794,19.258605422500672,73.21023128246422
GRID_0005,Passenger,4813,19.16192011285446,73.44574251742641
GRID_0006,Two-Wheeler,1240,18.734906163874903,72.9531777406306
GRID_0007,Passenger,2694,19.387732930254938,73.03672793572629
GRID_0008,Commercial,1169,18.564589211853857,73.1722174022629
GRID_0009,Passenger,1937,19.227810416738613,73.03617897740912
GRID_0010,Two-Wheeler,1355,18.90485779282083,72.82150874606154
GRID_0011,Passenger,2877,18.484183541540865,73.13779600176039
GRID_0012,Two-Wheeler,4533,18.810757611692086,73.41782033507116
GRID_0013,Passenger,2393,18.875388780571313,73.16037808206312
GRID_0014,Passenger,1686,19.053661577967237,73.05822113191645
GRID_0015,Two-Wheeler,2342,18.69269269407432,73.17410867538189
GRID_0016,Passenger,826,19.130221966229172,73.3031625468493
GRID_0017,Two-Wheeler,3726,19.268318080823544,73.32688885015459
GRID_0018,Two-Wheeler,2900,19.075818094738313,72.84653693090846
GRID_0019,Two-Wheeler,4778,19.28605078884983,73.0419681039863
GRID_0020,Commercial,4601,19.06581103223772,73.19246445601004
GRID_0021,Passenger,4515,18.871694703544204,72.94117423762303
GRID_0022,Two-Wheeler,4806,18.711287831355705,72.86506151714741
GRID_0023,Passenger,550,19.011004491375573,73.1258645368174
GRID_0024,Passenger,1968,19.742406674506828,72.93082251252982
GRID_0025,Commercial,1509,19.14626603781881,72.88960561452433
GRID_0026,Passenger,4972,19.39317032140525,73.00721106957137
GRID_0027,Passenger,4057,18.903473663962135,73.21235350742862
GRID_0028,Passenger,1574,19.106912469731416,73.16438878191462
GRID_0029,Passenger,653,19.268244923534333,72.90165528356191
GRID_0030,Commercial,1081,19.379453147429707,72.8815213719893
GRID_0031,Commercial,1287,19.01577780328725,73.77223804812651
GRID_0032,Two-Wheeler,3881,19.21377003329315,72.81513715385634
GRID_0033,Two-Wheeler,2767,18.570661530004045,73.36291117043997
GRID_0034,Commercial,4758,19.440148361208337,73.08313907370152
GRID_0035,Passenger,1470,19.075832080106956,73.04930367408242
GRID_0036,Passenger,1147,19.362900479451444,72.86250240302535
GRID_0037,Passenger,1445,19.232583189397637,72.84136302783207
GRID_0038,Two-Wheeler,1995,19.214545814614052,72.87335218080268
GRID_0039,Two-Wheeler,2547,19.048235044373136,72.88669687864326
GRID_0040,Two-Wheeler,1672,19.964260907138915,73.11842209579459
GRID_0041,Passenger,4718,19.851817375069857,72.87526927579755
GRID_0042,Passenger,3386,18.943413289522802,72.8843244588339
GRID_0043,Passenger,4658,18.896752695288953,72.82690201944982
GRID_0044,Commercial,1232,19.02663646832634,73.11978006500902
GRID_0045,Commercial,3587,19.45239090433129,73.04644397699498
GRID_0046,Commercial,3961,19.457385878638103,73.10533680643181
GRID_0047,Passenger,2157,18.750945467897058,73.07596915133588
GRID_0048,Passenger,978,19.10605784002783,73.5581183995379
GRID_0049,Commercial,1637,19.316649374748323,73.03471022230329
GRID_0050,Passenger,4453,19.276827279002394,73.01835366249999
GRID_0051,Two-Wheeler,1476,19.20854033832382,72.79781198918093
GRID_0052,Commercial,736,19.236641866106,73.16224000408181
GRID_0053,Passenger,3023,19.394098420709625,73.15943504588105
GRID_0054,Commercial,4543,19.52841909384562,73.21456763699118
GRID_0055,Two-Wheeler,1097,19.090026105814317,73.29710045936098
GRID_0056,Passenger,2202,19.484969769108336,73.0619955020486
GRID_0057,Two-Wheeler,2676,19.305183003422602,72.86746317276261
GRID_0058,Passenger,3057,19.37933156380153,73.13203949539184
GRID_0059,Two-Wheeler,664,18.94338885548304,73.19513902961971
GRID_0060,Passenger,2824,18.91519457757081,73.34552170466574
GRID_0061,Passenger,3539,18.91548900068252,72.97599643759601
GRID_0062,Commercial,1069,18.891293622388567,73.10672766634562
GRID_0063,Passenger,3828,18.909779660771328,72.87426982501029
GRID_0064,Two-Wheeler,640,19.63005977463875,72.97307373952975
GRID_0065,Passenger,1185,19.051239383203743,72.85751063649694
GRID_0066,Passenger,1186,19.152938535361,72.85145774458233
GRID_0067,Two-Wheeler,3780,19.774775937231748,72.92822280298181
GRID_0068,Passenger,3263,18.70745603085096,72.86004557521015
GRID_0069,Two-Wheeler,4090,19.0627327311853,73.35640812004903
GRID_0070,Commercial,2538,19.55378491672869,72.97627586237918
GRID_0071,Two-Wheeler,1574,18.711752373489603,72.9008817883021
GRID_0072,Commercial,2725,19.3853479954507,73.3669703826897
GRID_0073,Passenger,1841,18.630115480719567,73.138435171095
GRID_0074,Passenger,2189,18.851541255482687,73.003095390366
GRID_0075,Passenger,3510,19.44159879774306,72.91431766387183
GRID_0076,Passenger,863,18.87733958986269,72.91549884629106
GRID_0077,Passenger,1567,19.276842901252923,73.2151303673713
GRID_0078,Two-Wheeler,3140,19.258502989603617,73.06982377055003
GRID_0079,Two-Wheeler,4249,19.017875809741565,72.88477287332915
GRID_0080,Two-Wheeler,2530,18.726104712022902,72.8744011854766
GRID_0081,Two-Wheeler,1117,19.042101911093695,73.11820797147679
GRID_0082,Two-Wheeler,4954,18.817709489820963,72.94825113109358
GRID_0083,Two-Wheeler,3646,19.215103350498698,73.04210636813575
GRID_0084,Two-Wheeler,2482,19.242450138790595,73.1190127391751
GRID_0085,Passenger,693,18.94226304984426,73.0264176315269
GRID_0086,Two-Wheeler,4958,19.636623428762487,72.73756020511826
GRID_0087,Two-Wheeler,1619,19.49005940476941,73.14064188666252
GRID_0088,Two-Wheeler,4702,18.996102970297148,72.82283734964672
GRID_0089,Passenger,1026,19.111520707900166,73.12374949820949
GRID_0090,Commercial,2452,18.451384099471362,73.07935218767565
GRID_0091,Two-Wheeler,2282,18.87743068514396,72.87895981319878
GRID_0092,Two-Wheeler,3173,19.088818439151787,73.08591092164302
GRID_0093,Passenger,2897,19.191480575567688,73.10688458470848
