ID,Type,Latitude,Longitude,Hub
CUST_0000,Independent Workshop,18.986813743557953,73.0167304496335,Mumbai
CUST_0001,Independent Workshop,19.336965152729665,73.00931204033368,Mumbai
CUST_0002,Independent Workshop,19.41697163110428,73.51249067906734,Mumbai
CUST_0003,Fleet Owner,18.994877260542776,72.82623332072613,Mumbai
CUST_0004,Independent Workshop,18.71598963807905,73.17538181402841,Mumbai
CUST_0005,Trader,19.230410211377787,73.18196769924504,Mumbai
CUST_0006,Independent Workshop,19.13257206737472,73.08955035814417,Mumbai
CUST_0007,Trader,19.338336848080218,73.20897641537856,Mumbai
CUST_0008,Fleet Owner,19.2684943399827,73.19479738060097,Mumbai
CUST_0009,Independent Workshop,19.182121561014114,73.1128338962405,Mumbai
CUST_0010,Independent Workshop,18.859089727505157,72.91416546310708,Mumbai
CUST_0011,Independent Workshop,19.295668387047723,72.81780137295155,Mumbai
CUST_0012,MASS,19.37834549267166,73.012190000923,Mumbai
CUST_0013,Independent Workshop,19.759605539765435,72.901141357538,Mumbai
CUST_0014,MASS,18.724398683204612,72.8690675859763,Mumbai
CUST_0015,Trader,18.83524609348347,73.12199500020327,Mumbai
CUST_0016,MASS,19.086495016117507,72.84338204572555,Mumbai
CUST_0017,Trader,19.044966902779585,73.06278520448694,Mumbai
CUST_0018,Independent Workshop,18.962884441913832,73.07196244872591,Mumbai
CUST_0019,Independent Workshop,19.33739279208658,72.79216457184866,Mumbai
CUST_0020,Independent Workshop,19.253527310090988,72.90081971788779,Mumbai
CUST_0021,Fleet Owner,19.233518734650254,73.31843436807581,Mumbai
CUST_0022,MASS,19.340355877215593,72.89054021486992,Mumbai
CUST_0023,Trader,19.294111789415116,73.14424963602444,Mumbai
CUST_0024,Independent Workshop,18.836247975893304,73.22320115104299,Mumbai
CUST_0025,Independent Workshop,19.152112279967714,72.94200187274502,Mumbai
CUST_0026,MASS,19.08198295361646,73.0956784972031,Mumbai
CUST_0027,Independent Workshop,19.43533908208338,72.87952659318516,Mumbai
CUST_0028,Independent Workshop,19.40872033199302,73.12475065262603,Mumbai
CUST_0029,Trader,19.134074039544103,72.92174523051308,Mumbai
CUST_0030,Independent Workshop,18.628875873754875,72.96702613548416,Mumbai
CUST_0031,Independent Workshop,18.97236704865253,72.89774967813521,Mumbai
CUST_0032,Independent Workshop,19.46609503528322,72.90983775001777,Mumbai
CUST_0033,Independent Workshop,19.673258989348117,73.33855343958014,Mumbai
CUST_0034,Fleet Owner,19.416858872737926,73.08489149440122,Mumbai
CUST_0035,Independent Workshop,19.079785819564968,72.98821850421669,Mumbai
CUST_0036,Independent Workshop,18.88304523056081,73.29302543265204,Mumbai
CUST_0037,Independent Workshop,19.312345422521894,73.19430171384322,Mumbai
CUST_0038,MASS,19.170324066365104,73.29053774661988,Mumbai
CUST_0039,Independent Workshop,18.744292058466026,73.33862894943796,Mumbai
CUST_0040,Independent Workshop,19.016652009698333,73.34570142011808,Mumbai
CUST_0041,Independent Workshop,19.461766912964773,73.20851595178782,Mumbai
CUST_0042,Independent Workshop,19.09062722557671,73.46469923211258,Mumbai
CUST_0043,Independent Workshop,19.17724387719263,73.10513454373996,Mumbai
CUST_0044,MASS,19.025385618542114,72.8929241517793,Mumbai
CUST_0045,MASS,19.237790674196763,72.90922370695601,Mumbai
CUST_0046,Independent Workshop,18.601655754377838,73.19783519041937,Mumbai
CUST_0047,Independent Workshop,18.92221658055717,73.40552941040407,Mumbai
CUST_0048,Fleet Owner,19.247712128191495,72.89544310390994,Mumbai
CUST_0049,Independent Workshop,19.185831785025858,72.85057552785912,Mumbai
CUST_0050,MASS,18.95439180848691,72.92959956532144,Mumbai
CUST_0051,Independent Workshop,19.314002773461674,73.2408375618656,Mumbai
CUST_0052,Fleet Owner,19.166503477985618,73.02302853350893,Mumbai
CUST_0053,MASS,18.918574785683724,73.09688866248808,Mumbai
CUST_0054,Fleet Owner,18.908699317954696,73.1681843294367,Mumbai
CUST_0055,Trader,19.46421494395983,72.76782053113143,Mumbai
CUST_0056,Independent Workshop,18.974021161807176,72.94310576399312,Mumbai
CUST_0057,Fleet Owner,19.079036627268305,73.11043352099352,Mumbai
CUST_0058,Independent Workshop,18.945202976603223,73.11498574694525,Mumbai
CUST_0059,Independent Workshop,19.016193800532562,73.09119367776697,Mumbai
CUST_0060,Trader,19.554079409959993,73.14400677063674,Mumbai
CUST_0061,MASS,19.268669582380777,73.04446402586746,Mumbai
CUST_0062,Fleet Owner,18.901213355477022,72.87549573843856,Mumbai
CUST_0063,Independent Workshop,18.553495562842432,73.32030787914168,Mumbai
CUST_0064,MASS,18.99872687270077,73.07865326284407,Mumbai
CUST_0065,Trader,19.229460335368856,73.217170197025,Mumbai
CUST_0066,Independent Workshop,18.96767414827436,72.92865568188188,Mumbai
CUST_0067,Independent Workshop,19.21577730065363,73.09583539785763,Mumbai
CUST_0068,Independent Workshop,18.909943139173894,73.21772784156205,Mumbai
CUST_0069,Independent Workshop,18.566731016256966,73.27020807013567,Mumbai
CUST_0070,Fleet Owner,19.000418939480923,72.87655929275243,Mumbai
CUST_0071,Trader,18.905414349719962,72.86565112861605,Mumbai
CUST_0072,Trader,19.39378455649523,73.07041577536602,Mumbai
CUST_0073,Fleet Owner,19.199171620950104,72.89991825153294,Mumbai
CUST_0074,Independent Workshop,18.990199690842207,72.99211911360722,Mumbai
